Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938465~115938469~116991816~117266400&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-742,100,84,69,76,83,245,60,1396,2.000%,1.06679,0.44,0.80
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938465~115938469~116991816~117266400&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-743,100,142,111,120,150,1447,102,1451,5.000%,1.06634,0.86,0.80
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938465~115938469~116991816~117266400&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-747,100,189,114,380,390,789,103,845,28.000%,1.08186,0.87,0.81
/events/1/NRJS-29f08b2561dc6ad578f?a=1431854846&sa=1&v=1.301.0&t=Unnamed%20Transaction&rst=3286&ck=0&s=0&ref=https://apps.mypurecloud.com.au/messenger/thirdparty-plugins.html&ptid=69373c7e868702ec-754,100,315,297,317,369,503,284,1329,100.000%,1.07963,0.44,0.78
/jserrors/1/NRJS-29f08b2561dc6ad578f?a=1431854846&sa=1&v=1.301.0&t=Unnamed%20Transaction&rst=3287&ck=0&s=0&ref=https://apps.mypurecloud.com.au/messenger/thirdparty-plugins.html&ptid=69373c7e868702ec-756,100,318,298,320,409,608,286,694,100.000%,1.07966,0.44,1.54
/jserrors/1/NRJS-29f08b2561dc6ad578f?a=1431854846&sa=1&v=1.301.0&t=Unnamed%20Transaction&rst=3287&ck=0&s=0&ref=https://apps.mypurecloud.com.au/messenger/thirdparty-plugins.html&ptid=69373c7e868702ec-755,100,331,299,380,479,653,286,1185,100.000%,1.07967,0.44,1.36
/pagead/1p-conversion/721637365/?random=1775643204535&cv=11&fst=1775643204535&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6461v9181659078z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938465~115938469~116991816&u_w=1920&u_h=1080&url=https%3A%2F%2Fwww.rmit.edu.au%2Flife-at-rmit&ref=https%3A%2F%2Fwww.rmit.edu.au%2Fstudy-with-us%2Fapplying-to-rmit&label=JrZLCOW4pqkBEPWfjdgC&frm=0&tiba=Life%20at%20RMIT%20-%20RMIT%20University&bttype=purchase&value=0&hn=www.google.com&npa=0&pscdl=noapi&auid=1698757343.1775164957&_tu=CA&gcl_ctr=36~1~0~0&gap.last_random=1775643198320&gap.last_label=JrZLCOW4pqkBEPWfjdgC&gcp=1&sscte=1&ct_cookie_present=1&fmt=8-771,100,266,253,321,352,430,227,474,100.000%,1.07956,5.01,5.33
/pagead/1p-conversion/721637365/-775,100,181,171,195,209,384,150,592,99.000%,1.08060,2.87,4.00
/SIE/-818,100,30,22,56,100,108,14,109,0.000%,1.08218,5.35,0.49
/ee/irl1/v1/interact?configId=8f3d8bb7-7148-45d0-86d8-87cbb537de71&requestId=42c3385d-e895-4744-9611-f293ea2a167c-790,100,249,242,253,258,325,233,690,100.000%,1.07960,1.19,2.59
/v1/config/46c8c7be486445e1a4c42d1b2392d91e-822,100,163,157,172,178,288,145,504,88.000%,1.08050,0.85,0.49
/v1/ingest-823,100,152,149,158,163,276,139,278,37.000%,1.08046,0.32,0.53
/canonical.html-825,100,65,56,65,71,238,47,618,3.000%,1.08150,0.31,0.32
/success.txt-829,100,57,56,63,65,71,47,187,1.000%,1.08158,0.23,0.34
/success.txt-828,100,60,56,64,67,190,48,196,3.000%,1.08150,0.23,0.34
/v1/ingest-824,100,158,154,164,168,323,145,327,76.000%,1.08033,0.82,2.01
/rp.gif-827,100,354,323,340,376,1327,279,1330,100.000%,1.07820,0.92,0.86
/config/au/de196456-5f1f-4e16-b48e-eef530d462f3.js-831,100,350,344,356,359,480,330,523,100.000%,1.07805,0.72,0.48
/ee/irl1/v1/interact?configId=4c921b14-8244-4ba4-9da3-31a27a594da5&requestId=18ba52e0-0b72-48b1-bfcd-7c99760227b7-830,100,249,237,248,273,531,226,575,100.000%,1.07945,1.18,3.63
